,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
Michigan Ave & 14th St,41.864059,-87.623727,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Michigan Ave & 14th St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Michigan Ave & 14th St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Michigan Ave & 14th St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Michigan Ave & 14th St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Michigan Ave & 14th St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Michigan Ave & 14th St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Michigan Ave & 14th St, dtype: int64"
Canal St & Harrison St,41.874255,-87.639573,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Canal St & Harrison St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Canal St & Harrison St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Canal St & Harrison St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Canal St & Harrison St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Canal St & Harrison St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Canal St & Harrison St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Canal St & Harrison St, dtype: int64"
Clinton St & 18th St,41.85795,-87.640826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Clinton St & 18th St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Clinton St & 18th St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Clinton St & 18th St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Clinton St & 18th St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Clinton St & 18th St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Clinton St & 18th St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Clinton St & 18th St, dtype: int64"
May St & Cullerton St,41.855136,-87.654127,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: May St & Cullerton St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: May St & Cullerton St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: May St & Cullerton St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: May St & Cullerton St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: May St & Cullerton St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: May St & Cullerton St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: May St & Cullerton St, dtype: int64"
Rush St & Cedar St,41.902308,-87.62769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Rush St & Cedar St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Rush St & Cedar St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Rush St & Cedar St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Rush St & Cedar St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Rush St & Cedar St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Rush St & Cedar St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Rush St & Cedar St, dtype: int64"
Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"Mon Oct  4 10:10:00 2021    13
Name: Mies van der Rohe Way & Chicago Ave, dtype: int64","Mon Oct  4 10:11:05 2021    13
Name: Mies van der Rohe Way & Chicago Ave, dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Mies van der Rohe Way & Chicago Ave, dtype: int64","Mon Oct  4 10:13:13 2021    11
Name: Mies van der Rohe Way & Chicago Ave, dtype: int64","Mon Oct  4 10:14:19 2021    11
Name: Mies van der Rohe Way & Chicago Ave, dtype: int64","Mon Oct  4 10:15:24 2021    11
Name: Mies van der Rohe Way & Chicago Ave, dtype: int64","Mon Oct  4 10:16:30 2021    11
Name: Mies van der Rohe Way & Chicago Ave, dtype: int64"
Canal St & Madison St,41.882091,-87.639833,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Canal St & Madison St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Canal St & Madison St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Canal St & Madison St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Canal St & Madison St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Canal St & Madison St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Canal St & Madison St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Canal St & Madison St, dtype: int64"
Wells St & Polk St,41.872596,-87.633502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Wells St & Polk St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Wells St & Polk St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Wells St & Polk St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Wells St & Polk St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Wells St & Polk St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Wells St & Polk St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Wells St & Polk St, dtype: int64"
Clark St & Elm St,41.902973,-87.63128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,3,2,2,2,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Clark St & Elm St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Clark St & Elm St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Clark St & Elm St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Clark St & Elm St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Clark St & Elm St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Clark St & Elm St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Clark St & Elm St, dtype: int64"
Theater on the Lake,41.926277,-87.630834,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"Mon Oct  4 10:10:00 2021    14
Name: Theater on the Lake, dtype: int64","Mon Oct  4 10:11:05 2021    14
Name: Theater on the Lake, dtype: int64","Mon Oct  4 10:12:09 2021    14
Name: Theater on the Lake, dtype: int64","Mon Oct  4 10:13:13 2021    14
Name: Theater on the Lake, dtype: int64","Mon Oct  4 10:14:19 2021    14
Name: Theater on the Lake, dtype: int64","Mon Oct  4 10:15:24 2021    14
Name: Theater on the Lake, dtype: int64","Mon Oct  4 10:16:30 2021    14
Name: Theater on the Lake, dtype: int64"
State St & 19th St,41.856594,-87.627542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: State St & 19th St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: State St & 19th St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: State St & 19th St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: State St & 19th St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: State St & 19th St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: State St & 19th St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: State St & 19th St, dtype: int64"
MLK Jr Dr & Pershing Rd,41.8246,-87.61678,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: MLK Jr Dr & Pershing Rd, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: MLK Jr Dr & Pershing Rd, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: MLK Jr Dr & Pershing Rd, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: MLK Jr Dr & Pershing Rd, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: MLK Jr Dr & Pershing Rd, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: MLK Jr Dr & Pershing Rd, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: MLK Jr Dr & Pershing Rd, dtype: int64"
Ritchie Ct & Banks St,41.906866,-87.626217,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Ritchie Ct & Banks St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Ritchie Ct & Banks St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Ritchie Ct & Banks St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Ritchie Ct & Banks St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Ritchie Ct & Banks St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Ritchie Ct & Banks St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Ritchie Ct & Banks St, dtype: int64"
LaSalle St & Illinois St,41.890762,-87.631697,18,18,18,17,17,17,17,16,16,16,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,"Mon Oct  4 10:10:00 2021    19
Name: LaSalle St & Illinois St, dtype: int64","Mon Oct  4 10:11:05 2021    19
Name: LaSalle St & Illinois St, dtype: int64","Mon Oct  4 10:12:09 2021    19
Name: LaSalle St & Illinois St, dtype: int64","Mon Oct  4 10:13:13 2021    20
Name: LaSalle St & Illinois St, dtype: int64","Mon Oct  4 10:14:19 2021    20
Name: LaSalle St & Illinois St, dtype: int64","Mon Oct  4 10:15:24 2021    20
Name: LaSalle St & Illinois St, dtype: int64","Mon Oct  4 10:16:30 2021    20
Name: LaSalle St & Illinois St, dtype: int64"
Wells St & Elm St,41.903222,-87.634324,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Wells St & Elm St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Wells St & Elm St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Wells St & Elm St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Wells St & Elm St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Wells St & Elm St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Wells St & Elm St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Wells St & Elm St, dtype: int64"
Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,"Mon Oct  4 10:10:00 2021    12
Name: Damen Ave & Thomas St (Augusta Blvd), dtype: int64","Mon Oct  4 10:11:05 2021    12
Name: Damen Ave & Thomas St (Augusta Blvd), dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Damen Ave & Thomas St (Augusta Blvd), dtype: int64","Mon Oct  4 10:13:13 2021    12
Name: Damen Ave & Thomas St (Augusta Blvd), dtype: int64","Mon Oct  4 10:14:19 2021    12
Name: Damen Ave & Thomas St (Augusta Blvd), dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: Damen Ave & Thomas St (Augusta Blvd), dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: Damen Ave & Thomas St (Augusta Blvd), dtype: int64"
State St & 35th St,41.831036,-87.626797,7,6,7,7,8,8,8,8,8,8,8,9,9,10,10,10,10,10,8,7,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: State St & 35th St, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: State St & 35th St, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: State St & 35th St, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: State St & 35th St, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: State St & 35th St, dtype: int64","Mon Oct  4 10:15:24 2021    7
Name: State St & 35th St, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: State St & 35th St, dtype: int64"
Stave St & Armitage Ave,41.917741,-87.691392,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Stave St & Armitage Ave, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Stave St & Armitage Ave, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Stave St & Armitage Ave, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Stave St & Armitage Ave, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Stave St & Armitage Ave, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Stave St & Armitage Ave, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: Stave St & Armitage Ave, dtype: int64"
Ogden Ave & Race Ave,41.891795,-87.658751,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"Mon Oct  4 10:10:00 2021    12
Name: Ogden Ave & Race Ave, dtype: int64","Mon Oct  4 10:11:05 2021    12
Name: Ogden Ave & Race Ave, dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Ogden Ave & Race Ave, dtype: int64","Mon Oct  4 10:13:13 2021    12
Name: Ogden Ave & Race Ave, dtype: int64","Mon Oct  4 10:14:19 2021    12
Name: Ogden Ave & Race Ave, dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: Ogden Ave & Race Ave, dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: Ogden Ave & Race Ave, dtype: int64"
Greenview Ave & Fullerton Ave,41.92533,-87.6658,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: Greenview Ave & Fullerton Ave, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: Greenview Ave & Fullerton Ave, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: Greenview Ave & Fullerton Ave, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: Greenview Ave & Fullerton Ave, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: Greenview Ave & Fullerton Ave, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: Greenview Ave & Fullerton Ave, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: Greenview Ave & Fullerton Ave, dtype: int64"
Southport Ave & Wrightwood Ave,41.928773,-87.663913,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,"Mon Oct  4 10:10:00 2021    7
Name: Southport Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:11:05 2021    7
Name: Southport Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: Southport Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: Southport Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: Southport Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Southport Ave & Wrightwood Ave, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Southport Ave & Wrightwood Ave, dtype: int64"
Canal St & Monroe St,41.88169,-87.63953,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Canal St & Monroe St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Canal St & Monroe St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Canal St & Monroe St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Canal St & Monroe St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Canal St & Monroe St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Canal St & Monroe St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Canal St & Monroe St, dtype: int64"
Canal St & Adams St,41.879255,-87.639904,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Canal St & Adams St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Canal St & Adams St, dtype: int64","Mon Oct  4 10:12:09 2021    7
Name: Canal St & Adams St, dtype: int64","Mon Oct  4 10:13:13 2021    7
Name: Canal St & Adams St, dtype: int64","Mon Oct  4 10:14:19 2021    7
Name: Canal St & Adams St, dtype: int64","Mon Oct  4 10:15:24 2021    7
Name: Canal St & Adams St, dtype: int64","Mon Oct  4 10:16:30 2021    7
Name: Canal St & Adams St, dtype: int64"
State St & 29th St,41.841707,-87.626938,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: State St & 29th St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: State St & 29th St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: State St & 29th St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: State St & 29th St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: State St & 29th St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: State St & 29th St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: State St & 29th St, dtype: int64"
Wabash Ave & Wacker Pl,41.886875,-87.62603,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,"Mon Oct  4 10:10:00 2021    19
Name: Wabash Ave & Wacker Pl, dtype: int64","Mon Oct  4 10:11:05 2021    19
Name: Wabash Ave & Wacker Pl, dtype: int64","Mon Oct  4 10:12:09 2021    19
Name: Wabash Ave & Wacker Pl, dtype: int64","Mon Oct  4 10:13:13 2021    19
Name: Wabash Ave & Wacker Pl, dtype: int64","Mon Oct  4 10:14:19 2021    19
Name: Wabash Ave & Wacker Pl, dtype: int64","Mon Oct  4 10:15:24 2021    19
Name: Wabash Ave & Wacker Pl, dtype: int64","Mon Oct  4 10:16:30 2021    19
Name: Wabash Ave & Wacker Pl, dtype: int64"
Columbus Dr & Randolph St,41.884728,-87.619521,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Columbus Dr & Randolph St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Columbus Dr & Randolph St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Columbus Dr & Randolph St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Columbus Dr & Randolph St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Columbus Dr & Randolph St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Columbus Dr & Randolph St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Columbus Dr & Randolph St, dtype: int64"
Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,10,10,10,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,"Mon Oct  4 10:10:00 2021    12
Name: Cityfront Plaza Dr & Pioneer Ct, dtype: int64","Mon Oct  4 10:11:05 2021    12
Name: Cityfront Plaza Dr & Pioneer Ct, dtype: int64","Mon Oct  4 10:12:09 2021    12
Name: Cityfront Plaza Dr & Pioneer Ct, dtype: int64","Mon Oct  4 10:13:13 2021    12
Name: Cityfront Plaza Dr & Pioneer Ct, dtype: int64","Mon Oct  4 10:14:19 2021    12
Name: Cityfront Plaza Dr & Pioneer Ct, dtype: int64","Mon Oct  4 10:15:24 2021    12
Name: Cityfront Plaza Dr & Pioneer Ct, dtype: int64","Mon Oct  4 10:16:30 2021    12
Name: Cityfront Plaza Dr & Pioneer Ct, dtype: int64"
Michigan Ave & Madison St,41.882134,-87.625125,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,"Mon Oct  4 10:10:00 2021    15
Name: Michigan Ave & Madison St, dtype: int64","Mon Oct  4 10:11:05 2021    15
Name: Michigan Ave & Madison St, dtype: int64","Mon Oct  4 10:12:09 2021    15
Name: Michigan Ave & Madison St, dtype: int64","Mon Oct  4 10:13:13 2021    15
Name: Michigan Ave & Madison St, dtype: int64","Mon Oct  4 10:14:19 2021    15
Name: Michigan Ave & Madison St, dtype: int64","Mon Oct  4 10:15:24 2021    15
Name: Michigan Ave & Madison St, dtype: int64","Mon Oct  4 10:16:30 2021    15
Name: Michigan Ave & Madison St, dtype: int64"
